Label,max_area,mean_landfalling_area,cumulative_landfalling_area,duration,max_south_extent,region,max_T2M_anomaly_ais,max_IWV_ais,max_IWV_anomaly_ais,max_ocean_SLP_gradient,cumulative_rainfall_ais,cumulative_snowfall_ais,avg_landfalling_minomega,max_landfalling_v850hPa,max_vIVT_ais
1981_62,1954210,38082,66643,42,-73.0,East 2,10.813705444335938,6.122843265533447,3.671612024307251,7.270536525800432,0.0,0.15107612044903507,-0.5403795464427164,31.565380096435547,64.75306701660156
1981_63,1914281,5930,6671,27,-68.0,West,8.30364990234375,14.160900115966797,8.151588439941406,7.476615239124265,3.6828991829173154e-05,0.02740987633828522,-0.7528366793075251,23.801122665405277,243.4207000732422
1981_66,628434,21643,8116,9,-71.0,East 1,6.33111572265625,9.785481452941896,5.440318584442139,2.9646468752145774,0.0,0.04934461809656405,-0.4068657530658812,24.271499633789062,84.18778228759766
1981_67,2105170,92360,288625,75,-77.0,West,13.270263671875,16.277708053588867,9.44886589050293,5.385076002199638,0.013643946246714451,0.8570666209535917,-0.5183023810503155,32.2947883605957,391.1602783203125
1981_68,1425487,24675,46266,45,-69.5,East 2,6.5794677734375,10.162965774536133,6.209738731384277,5.786910841480892,0.0,0.11408784952629909,-0.744038438796997,33.80454635620117,134.34071350097656
1981_69,2998916,713797,1873717,63,-85.0,East 1,11.056198120117188,16.609647750854492,11.25043487548828,3.9637496815963766,0.00017329387837252284,2.319791082829209,-0.365094017982483,34.20289611816406,503.1977233886719
1981_71,2370339,409792,1485499,87,-85.0,East 1,9.09197998046875,12.112679481506348,6.25079870223999,6.015686728120408,2.0071924309568047e-05,0.8591554394215016,-0.4530926644802052,28.31951713562012,268.4512939453125
1981_72,882086,153708,57640,9,-75.5,West,7.09619140625,16.333343505859375,8.604839324951172,3.955928392822128,0.006583709367520864,0.20413842761048331,-0.6872691421341434,18.36178207397461,240.5450134277344
1981_73,1688536,114,215,45,-66.5,West,1.1795654296875,16.340993881225586,8.612489700317383,4.637144699262814,0.0,0.0023321455235460835,-0.4081107974052429,25.09712600708008,195.7637939453125
1981_75,2228792,508,1143,54,-67.0,East 1,6.533355712890625,9.509750366210938,6.0275492668151855,7.362755879696602,1.0450660239216e-07,0.0001530320180204259,-0.4364046454429627,25.245681762695312,65.71817016601562
1982_1,1341837,94443,141665,36,-72.0,East 2,6.9577484130859375,13.451339721679688,7.717834949493408,5.589883043570653,0.005966768759654434,0.481257980036392,-0.438030440196784,24.84123420715332,175.14459228515625
1982_2,437779,422187,52773,3,-73.0,East 2,6.6164398193359375,10.79339599609375,4.718109130859375,3.411256364499144,0.00015133697255400284,0.1485293165400759,-0.3947624587688572,9.331628799438477,72.44215393066406
1982_3,1217499,108242,148832,33,-81.0,West,9.036285400390623,14.316725730895996,7.94094705581665,3.530953426514525,0.001337641953607713,0.44358567685304756,-0.4705937051413712,27.329666137695312,264.16046142578125
